I'm pretty sure ; Eu tenho certeza
I am a Fireman ; Eu sou bombeiro
I work with ; Eu trabalho com
There’s a curiosity about my profession ; Há uma curiosidade sobre a minha profissão
Summer ; Verão
Winter ; Inverno
Autumn ; Outono
Once upon a time ;Era uma vez
See the world ;(Ver o mundo)
All summer long ;Durante todo o verão
Playing games and having fun; (Jogando jogos e se divertindo)
They realized ;Eles perceberam 
She was very pretty ;Ela era muito bonita
Everyone was quite sure ;Todo mundo tinha certeza